
[2024-07-08 19:23:59.004062]Acceleration: X:6.37, Y: 1.71, Z: 7.40 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -24.00 uT

[2024-07-08 19:24:00.034203]Acceleration: X:6.49, Y: 1.69, Z: 7.42 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:9.60, Y: -6.75, Z: -25.50 uT

[2024-07-08 19:24:01.064385]Acceleration: X:6.48, Y: 1.69, Z: 7.36 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.85, Y: -8.40, Z: -25.80 uT

[2024-07-08 19:24:02.094617]Acceleration: X:6.43, Y: 1.71, Z: 7.36 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.00, Y: -7.05, Z: -24.45 uT

[2024-07-08 19:24:04.631976]Acceleration: X:6.43, Y: 1.70, Z: 7.39 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.85, Y: -7.95, Z: -26.25 uT

[2024-07-08 19:24:05.662354]Acceleration: X:6.50, Y: 1.64, Z: 7.42 m/s^2
Gyro X:-0.01, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:8.25, Y: -8.55, Z: -26.70 uT

[2024-07-08 19:24:06.692673]Acceleration: X:6.50, Y: 1.61, Z: 7.42 m/s^2
Gyro X:-0.00, Y: 0.01, Z: 0.00 rads/s
Magnetometer X:9.15, Y: -7.95, Z: -25.50 uT

[2024-07-08 19:24:07.722971]Acceleration: X:6.49, Y: 1.74, Z: 7.34 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -9.00, Z: -25.95 uT

[2024-07-08 19:24:08.753244]Acceleration: X:6.51, Y: 1.69, Z: 7.40 m/s^2
Gyro X:-0.01, Y: 0.01, Z: -0.01 rads/s
Magnetometer X:7.50, Y: -7.35, Z: -26.70 uT

[2024-07-08 19:24:11.290391]Acceleration: X:6.49, Y: 1.65, Z: 7.39 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -7.80, Z: -26.40 uT

[2024-07-08 19:24:12.320695]Acceleration: X:6.48, Y: 1.69, Z: 7.39 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:10.05, Y: -9.45, Z: -25.95 uT

[2024-07-08 19:24:13.351679]Acceleration: X:6.46, Y: 1.68, Z: 7.29 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -8.55, Z: -25.65 uT

[2024-07-08 19:24:14.382146]Acceleration: X:6.53, Y: 1.70, Z: 7.39 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -7.35, Z: -24.90 uT

[2024-07-08 19:24:15.412532]Acceleration: X:6.47, Y: 1.67, Z: 7.38 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:8.85, Y: -8.85, Z: -24.75 uT

[2024-07-08 19:24:17.949571]Acceleration: X:6.39, Y: 1.65, Z: 7.38 m/s^2
Gyro X:0.00, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:9.15, Y: -9.15, Z: -26.25 uT

[2024-07-08 19:24:18.979860]Acceleration: X:6.45, Y: 1.61, Z: 7.37 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.90, Y: -8.85, Z: -25.05 uT

[2024-07-08 19:24:20.010023]Acceleration: X:6.45, Y: 1.66, Z: 7.42 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.00, Y: -8.55, Z: -25.65 uT

[2024-07-08 19:24:21.040267]Acceleration: X:6.50, Y: 1.67, Z: 7.42 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.30, Y: -7.35, Z: -25.65 uT

[2024-07-08 19:24:22.070607]Acceleration: X:6.46, Y: 1.64, Z: 7.45 m/s^2
Gyro X:0.02, Y: 0.00, Z: -0.01 rads/s
Magnetometer X:9.30, Y: -8.55, Z: -25.65 uT

[2024-07-08 19:24:24.607777]Acceleration: X:6.54, Y: 1.30, Z: 8.00 m/s^2
Gyro X:0.00, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -24.75 uT

[2024-07-08 19:24:25.638098]Acceleration: X:6.51, Y: 1.40, Z: 7.88 m/s^2
Gyro X:-0.03, Y: 0.03, Z: 0.01 rads/s
Magnetometer X:8.85, Y: -9.60, Z: -24.00 uT

[2024-07-08 19:24:26.668436]Acceleration: X:6.58, Y: 1.39, Z: 7.74 m/s^2
Gyro X:0.01, Y: 0.01, Z: 0.01 rads/s
Magnetometer X:9.60, Y: -8.40, Z: -26.25 uT

[2024-07-08 19:24:27.698868]Acceleration: X:6.52, Y: 1.39, Z: 7.45 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:9.30, Y: -8.25, Z: -25.95 uT

[2024-07-08 19:24:28.729181]Acceleration: X:6.53, Y: 1.47, Z: 7.34 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:10.80, Y: -8.25, Z: -24.15 uT

[2024-07-08 19:24:31.266158]Acceleration: X:6.61, Y: 1.51, Z: 7.35 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:8.85, Y: -8.85, Z: -24.30 uT

[2024-07-08 19:24:32.296350]Acceleration: X:6.57, Y: 1.49, Z: 7.41 m/s^2
Gyro X:-0.01, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:6.60, Y: -7.65, Z: -25.05 uT

[2024-07-08 19:24:33.326784]Acceleration: X:6.55, Y: 1.47, Z: 7.32 m/s^2
Gyro X:0.00, Y: 0.01, Z: -0.00 rads/s
Magnetometer X:7.80, Y: -9.00, Z: -24.90 uT

[2024-07-08 19:24:34.357081]Acceleration: X:6.65, Y: 1.50, Z: 7.36 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:10.80, Y: -8.55, Z: -25.95 uT

[2024-07-08 19:24:35.387326]Acceleration: X:6.53, Y: 1.47, Z: 7.28 m/s^2
Gyro X:-0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.75, Y: -8.55, Z: -24.90 uT

[2024-07-08 19:24:37.924436]Acceleration: X:6.58, Y: 1.49, Z: 7.38 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.01 rads/s
Magnetometer X:10.05, Y: -9.00, Z: -24.45 uT

[2024-07-08 19:24:38.954719]Acceleration: X:6.62, Y: 1.51, Z: 7.34 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:10.05, Y: -8.55, Z: -24.45 uT

[2024-07-08 19:24:39.985144]Acceleration: X:6.58, Y: 1.50, Z: 7.35 m/s^2
Gyro X:0.00, Y: 0.02, Z: -0.00 rads/s
Magnetometer X:9.00, Y: -7.80, Z: -26.40 uT

[2024-07-08 19:24:41.015343]Acceleration: X:6.59, Y: 1.39, Z: 7.40 m/s^2
Gyro X:-0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -8.55, Z: -26.40 uT

[2024-07-08 19:24:42.045608]Acceleration: X:6.61, Y: 1.50, Z: 7.38 m/s^2
Gyro X:-0.01, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.30, Y: -8.55, Z: -26.70 uT

[2024-07-08 19:24:44.582560]Acceleration: X:6.54, Y: 1.46, Z: 7.36 m/s^2
Gyro X:0.00, Y: 0.02, Z: 0.00 rads/s
Magnetometer X:9.90, Y: -10.35, Z: -25.80 uT

